User Story ID,Journey phase,Journey step,Epic Code,Epic,Jobs to be Done (Epic Description),User Story Title,User Story Description,Acceptance Criteria,Roadmap,Priority,Miro Status,Reach,Impact,Inisght Confidence,Confidence,Effort,RICE Score,Related Services,Stakeholders,Project Dependencies,Technology
5.05.c,1. Unified digital entry-point,0. Access and navigation,VS5.05,Unified navigation,"As a student, I want a single unified digital entry point to the university, with clear and consistent navigation through to websites and systems, personalised for my circumstances, cohort, and faculty, so I can find information quickly and focus on my studies. All pages should be navigable via logical, consistently structured navigation from high-level topics to detailed information, with distinct page types that provide progressively deeper levels of specificity.",Primary navigation,"As a student, I want a structured primary navigation menu aligned with the information architecture, so I can navigate from high-level topics to detailed pages logically in my student portal.","[To do: Define information architecture]

Primary navigation is displayed as a side accordion menu.
Level 1 items open their respective overview pages.
Level 2 items expand within their parent category.
Navigation follows the defined information architecture.
Layout is mobile-first and accessible.",MVP,1,In Progress (Iterative Design),1,4.5,0.5,0.5,3.11,0.72347,All Services,"Nick Miller and CJ Hogan 
(Student Comms)",,
5.05.d,1. Unified digital entry-point,0. Access and navigation,VS5.05,Unified navigation,"As a student, I want a single unified digital entry point to the university, with clear and consistent navigation through to websites and systems, personalised for my circumstances, cohort, and faculty, so I can find information quickly and focus on my studies. All pages should be navigable via logical, consistently structured navigation from high-level topics to detailed information, with distinct page types that provide progressively deeper levels of specificity.",Profile navigation,"As a student, I want a profile menu showing my name, student ID, and key portal menu items so that I can quickly access important options and sign out when needed.","[To do: Define information architecture]

Profile menu displays the student’s full name and ID.
Menu includes key portal items relevant to the student experience.
A clearly visible “Sign out” button is present.
Profile menu is accessible from all portal pages.
Layout is responsive and mobile-friendly.",MVP,1,In Progress (Iterative Design),1,4.5,0.5,0.5,3.11,0.72347,All Services,"Nick Miller and CJ Hogan 
(Student Comms)",,
5.05.e,1. Unified digital entry-point,0. Access and navigation,VS5.05,Unified navigation,"As a student, I want a single unified digital entry point to the university, with clear and consistent navigation through to websites and systems, personalised for my circumstances, cohort, and faculty, so I can find information quickly and focus on my studies. All pages should be navigable via logical, consistently structured navigation from high-level topics to detailed information, with distinct page types that provide progressively deeper levels of specificity.",Quick links navigation (customised),"As a student, I want to personalise my quick links so that I can access the services I use most frequently, while still having default links provided based on my cohort.","Students can edit, add, or remove links in their personal quick links section.
Default links are pre-populated based on cohort.
Changes made by students persist across sessions on the same device/browser.",Target State,,In Progress (Iterative Design),1,3.45,0.6,0.5,3.11,0.55466,All Services,"Nick Miller and CJ Hogan 
(Student Comms)",,
5.05.f,1. Unified digital entry-point,0. Access and navigation,VS5.05,Unified navigation,"As a student, I want a single unified digital entry point to the university, with clear and consistent navigation through to websites and systems, personalised for my circumstances, cohort, and faculty, so I can find information quickly and focus on my studies. All pages should be navigable via logical, consistently structured navigation from high-level topics to detailed information, with distinct page types that provide progressively deeper levels of specificity.",Quick links navigation (static),"As a student, I want common high-traffic links readily accessible so that I can quickly navigate to frequently used services without searching through menus.","A section of quick links is displayed prominently and is accessible from all portal pages.
Links include the most commonly used University services based on traffic data.
Quick links are static for all students and consistent across devices.
Quick links are accessible and follow mobile-first design best practices.",Current State,1,To Do,1,3.45,0.6,0.5,3.11,0.55466,,,,
5.05.g,1. Unified digital entry-point,0. Access and navigation,VS5.05,Unified navigation,"As a student, I want a single unified digital entry point to the university, with clear and consistent navigation through to websites and systems, personalised for my circumstances, cohort, and faculty, so I can find information quickly and focus on my studies. All pages should be navigable via logical, consistently structured navigation from high-level topics to detailed information, with distinct page types that provide progressively deeper levels of specificity.",Topic landing page (dynamic),"As a student, I want topic landing pages that display personalised widgets summarising linked information so that I can quickly access relevant content for that topic.","Topic landing pages include Navigation Tile widgets showing realted content.
Related Links widgets highlight external but relevant resources.
Widgets are personalised to the student based on profile, cohort, or interactions.
Pages are mobile-first and accessible.
Navigation between widgets and subpages is intuitive and consistent.",Future State,,Complete,1,4.5,0.6,0.5,3.11,0.72347,All Services,"Nick Miller and CJ Hogan 
(Student Comms)",,
5.05.h,1. Unified digital entry-point,0. Access and navigation,VS5.05,Unified navigation,"As a student, I want a single unified digital entry point to the university, with clear and consistent navigation through to websites and systems, personalised for my circumstances, cohort, and faculty, so I can find information quickly and focus on my studies. All pages should be navigable via logical, consistently structured navigation from high-level topics to detailed information, with distinct page types that provide progressively deeper levels of specificity.",Topic landing page (staff-curated),"As a student, I want staff-curated landing pages that provide topic-based summaries so that I can view relevant content in a structured, reliable way, even when dynamic personalisation isn’t available.","Topic landing pages include pre-defined widgets curated by staff.
Pages show static related links relevant to the topic.
Pages follow mobile-first design, accessibility and UX best practices.
Navigation from landing page to subpages is consistent with portal IA.",Current State,,In Progress (Iterative Design),1,4.5,0.6,0.5,3.11,0.72347,All Services,"Nick Miller and CJ Hogan 
(Student Comms)",,
3.02.1.a,1. Unified digital entry-point,0. Access and navigation,VS3.02.1,Unified search,"As a student, I want search that works whether I am signed in or not, showing secure personalised results for my profile and course when I sign in and clear public information when I do not, so I can self serve and get what I need quickly.",Integrated global search (static content),"As a student, I want access to a single global search portal that lets me find content across key university systems, so I can quickly locate information without switching between platforms.","Search is always visible and accessible to all users (authenticated or not).
Search spans multiple University systems: students.unimelb, Handbook, Library, and other relevant platforms.
Users can filter results by category, content type, or source system.
Users can sort results based on relevance, date, or popularity.
Search interface is mobile-first and responsive.
Search flow should follows UX best practices, including clear input, feedback, and accessibility compliance.
Search algorithm should be optimised and showing results that match with importance and students expectation.",Current State,1,To Do,1,5,0.1,0.5,1,2.5,,,,Search Engine (Funnelback)
3.02.1.b,1. Unified digital entry-point,0. Access and navigation,VS3.02.1,Unified search,"As a student, I want search that works whether I am signed in or not, showing secure personalised results for my profile and course when I sign in and clear public information when I do not, so I can self serve and get what I need quickly.",Search results are prioritised to student cohort (static content),"As a student, I want search results prioritised according to my cohort and profile so that the most relevant content for my course, faculty, and level appears first.","If the student is logged in, the system automatically identifies cohort attributes (e.g., domestic/international, undergrad/postgrad, faculty, year).
If unauthenticated, students can optionally set their profile to personalise results.
Multiple attributes are used simultaneously to prioritise search results.
Users can override or adjust automatically filled profile preferences if desired.
Results ranking is visibly clear and consistent across devices.
Mobile-first layout and accessible design.",Target State,,To Do,1,5,0.1,0.5,3,0.83333,,,,"Search Engine (Funnelback), Tealium (CDP), CMS (Content tagging), OneCRM (Student Attributes)."
3.02.1.c,1. Unified digital entry-point,0. Access and navigation,VS3.02.1,Unified search,"As a student, I want search that works whether I am signed in or not, showing secure personalised results for my profile and course when I sign in and clear public information when I do not, so I can self serve and get what I need quickly.",Unified and personalised search experience,"As a student, I want a unified search across all key university systems that provides personalised results and actionable options inline, so I can quickly find relevant content and perform actions without navigating away.","Search spans LMS, Handbook, my.unimelb, Library, and students.unimelb.
When signed in, results are personalised to the student’s course, year, and cohort.
Direct actions or informations (e.g., updating details, submitting forms) are available inline in search results.
Filters to narrow results are optional and personalised where applicable.
Search interface is mobile-first, responsive, and accessible.
Unauthenticated users see general public results but can personalise using optional profile filters.",Future State,,To Do,1,5,0.2,0.5,5,0.5,,,,"Tealium (CDP), CMS (Content tagging), OneCRM (Student Attributes)."
0.02.a,1. Unified digital entry-point,1. Initiation and onboarding,VS0.02,New student onboarding experience,"""Your New Student Onboarding Checklist""
As a newly commencing student I want to see a checklist of related tasks and experiences that I can complete.

""From Application to Orientation — All in One Place""
As a new undergraduate student who just accepted my offer, I want to complete all the essential setup tasks, feel confident and supported, so that I can confirm my place university fand not miss out.",Personalised onboarding experience,"As a commencing student, I want a personalised onboarding checklist on my dashboard so that I can understand what digital services and tasks I need to complete, track my progress, and take action directly from the portal.","New students receive a welcome email with introduction to digital services, systems and a link to the student portal.
Students who are commencing and have not completed the checklist will see a onboarding checklist.
The checklist design follows mobile-first UX best practices and accessibility standards.
The onboarding checklist is personalised based on the student’s background and course.
Tasks should be automatically marked complete if the action is trackable by the system.
Students should be able to manually mark a self-managed task as completed (e.g., “Check your handbook”).
Tasks can be hidden or deleted by the student if desired.
Each task includes clear calls to action, which can be links to University services or Inline actions (e.g., submit a form, book an orientation).",MVP,1,In Progress (Iterative Design),1,4.7,0.6,0.5,3.67,0.64033,"All services (TBC), Onboarding Services","Bronwyn Hazelwood, CJ Hogan and Nick Miller
(Student Comms)",,
0.04.a,1. Unified digital entry-point,1. Initiation and onboarding,VS0.04,Portal introduction,"""Smooth student transition with tutorials and in-context help previews""
As a student, I want help content that smooths the transition from the old portal to the new version, so that I can learn the new system at a convenient time.",Allow users to decide when to switch to updated portal versions,"As a student, I want the option to switch between the old and new portal versions so that I can explore updates at my own pace and adjust when I transition to the new system.","On first login after a major update, a modal appears allowing the student to switch to the new portal version.
The modal provides hints about new features and an option to watch the tutorial.
Students can switch back and forth between old and new portal versions at any time from a consistent interface.
Students can skip the tutorial if they wish.
The old portal version is removed after a predetermined duration.
Default behaviour encourages switching to the new version but respects student choice.
Functionality is mobile-first and accessible on all supported devices.",Future State,,In Progress (Iterative Design),1,4.7,0.1,0.5,2.5,0.94,"All services (TBC), Onboarding Services",,,
0.04.c,1. Unified digital entry-point,1. Initiation and onboarding,VS0.04,Portal introduction,"""Smooth student transition with tutorials and in-context help previews""
As a student, I want help content that smooths the transition from the old portal to the new version, so that I can learn the new system at a convenient time.",Introductory portal guidance and help tips,"As a student, I want in-context, step-by-step tutorials highlighting key portal features so that I can seamlessly understand critical updates without leaving my workflow.","In-context tutorial appears for first-time users on first login and is available anytime in the help menu.
Features are highlighted with titled hints, guiding the student through interactions step by step.
Navigation includes previous and next buttons.
Students can skip the tutorial, preventing it from appearing again.
Tutorial experience is consistent for all first-time users (no personalisation by cohort or role).
Design is mobile-first, responsive, and accessible.",Target State,,In Progress (Iterative Design),1,4,0.1,0.5,2.5,0.8,"All services (TBC), Onboarding Services","CJ Hogan and Nick Miller
(Student Comms)",,
0.04.d,1. Unified digital entry-point,1. Initiation and onboarding,VS0.04,Portal introduction,"""Smooth student transition with tutorials and in-context help previews""
As a student, I want help content that smooths the transition from the old portal to the new version, so that I can learn the new system at a convenient time.",Introductory portal guidance and help tips (Basic UX),"As a student, I want a simple image carousel tutorial that introduces new features with hints so that I can learn the portal at my own pace while exploring critical updates.","Tutorial is accessible on first login after rollout and anytime via the help menu.
Image carousel introduces each feature with a title and illustration.
Navigation includes previous and next buttons.
Students can skip the tutorial permanently.
Design is responsive, mobile-first, and accessible.",MVP,2,In Progress (Iterative Design),1,4,0.1,0.5,2.5,0.8,"All services (TBC), Onboarding Services","CJ Hogan and Nick Miller
(Student Comms)",,
7.05.a,1. Unified digital entry-point,"7. Profile, preferences and personalisation",VS7.05,Account security and privacy,"As a student, I want to manage my security, privacy, and communications preferences so I can safeguard my account, control who sees my data, and choose how the university contacts me.",Manage my account password,"As a student, I want to update or reset my university account password, so I can maintain the security of my account and ensure access across all systems.","Provides a link to access other system  for students to update or reset their University account password.
Password updates are reflected immediately across all connected university systems.",MVP,1,To Do,1,3,0.1,0.5,2.5,0.6,,,,"Identity Management System, OneCRM (Privacy flags)"
7.05.b,1. Unified digital entry-point,"7. Profile, preferences and personalisation",VS7.05,Account security and privacy,"As a student, I want to manage my security, privacy, and communications preferences so I can safeguard my account, control who sees my data, and choose how the university contacts me.",Manage security and privacy preferences,"As a student, I want to adjust my general sharing preferences and review my security-related account activity, so I can control who sees my data and monitor for any suspicious activity.","Students can view and update general sharing/privacy preferences (e.g., GDPR).
Displays security-related account activity history, such as login records and access attempts.
Updates to privacy settings are persisted across sessions and devices.
Interface ensures clear and understandable privacy management for students.",MVP,,To Do,1,3,0.1,0.5,2.5,0.6,,,,Okta (Self-service password reset flow)
7.02.a,1. Unified digital entry-point,"7. Profile, preferences and personalisation",VS7.02,Check my personal details,"As a student I want to verify the information the university holds about me, so that the University can use my information when needed without me having to change or update it then.",Direct submission for document-required personal detail changes,"As a student, I want to submit change requests for personal details that require verification, including file uploads and forms, so I can ensure my records are accurate.","Students can submit change requests directly in the portal with file upload support.
A request status bar displays progress with statuses: Submitted, Reviewing, Finalised.
Students receive email notifications when status changes occur.
Each request is traceable in the Service Request status view in the student portal.",Future State,,In Progress (Iterative Design),1,3.33,0.3,0.5,3,0.555,"Personal Details, Academic Records","Alice Olivieri
(In-Person Support)",,"StudentOne (via integration layer), OneCRM (Service Request)."
7.02.b,1. Unified digital entry-point,"7. Profile, preferences and personalisation",VS7.02,Check my personal details,"As a student I want to verify the information the university holds about me, so that the University can use my information when needed without me having to change or update it then.",Hide and show sensitive personal details,"As a student, I want sensitive personal information, such as WAM, academic standing, and personal details, to be hidden until I choose to view it, so I can control access and protect my privacy.","Sensitive information is hidden by default.
Students must enter a 4-digit PIN that setup by them during to view sensitive information.
If a student hasn’t set up a PIN, prompt them to log in via Okta and guide them to complete the PIN setup afterward.
A “Forgot my PIN” link allows PIN reset.
Failed attempts to access sensitive information are recorded in the security history.",Target State,,In Progress (Iterative Design),1,3.33,0.3,0.5,3,0.555,"Personal Details, Academic Records","Alice Olivieri
(In-Person Support)",,"Frontend Logic, User Preference Store."
7.02.c,1. Unified digital entry-point,"7. Profile, preferences and personalisation",VS7.02,Check my personal details,"As a student I want to verify the information the university holds about me, so that the University can use my information when needed without me having to change or update it then.",Unified view of personal details,"As a student, I want to see all my personal details consolidated from multiple systems (e.g., eStudent and CIA), so I can review them in one place.","Displays all personal details in real-time from connected systems.
Each field includes a clear action button with a deep-link to the system responsible for updates.
Destination system names are displayed clearly to inform students where they are navigating.
Supports viewing of both legal and non-legal information.",MVP,2,In Progress (Iterative Design),1,3.33,0.3,0.5,3,0.555,"Personal Details, Academic Records","Alice Olivieri
(In-Person Support)",,"StudentOne (Primary Source), CIA (Contact Info), Integration Layer."
7.02.d,1. Unified digital entry-point,"7. Profile, preferences and personalisation",VS7.02,Check my personal details,"As a student I want to verify the information the university holds about me, so that the University can use my information when needed without me having to change or update it then.",Unified view to edit personal information,"As a student, I want to edit non-legal personal information, USI, and educational background in a centralised view, so I can keep my records accurate while understanding which fields are editable or not.","Editable fields include non-legal personal details, USI, and educational background.
Non-editable fields are clearly labelled.
Validation rules are applied to ensure correctness of input (e.g., USI format, education dates).
Consolidates data from multiple systems for a unified view.",Future State,,In Progress (Iterative Design),1,3.33,0.3,0.5,3,0.555,"Personal Details, Academic Records","Alice Olivieri
(In-Person Support)",,"StudentOne (Primary Source), CIA (Contact Info), Integration Layer."
5.04.a,1. Unified digital entry-point,"7. Profile, preferences and personalisation",VS5.04,Experience customisation,As a student I want agency to customise my experience with controls for topic relevancy so that I can receive accurate personalised content align with my need.,Customisable content and information,"As a student, I want to choose the content and information I see in the portal, so that the experience is tailored to my interests and priorities.","Students can select their preferred content and information types across the portal.
Preferences are persisted across sessions and devices.
Collected preferences feed a recommendation system to suggest relevant content and resources.
Students can update or adjust preferences at any time.",Future State,,To Do,1,3,0.1,0.5,2.5,0.6,,,,
5.02.b,1. Unified digital entry-point,"7. Profile, preferences and personalisation",VS5.02,Personalised content,"As a student, I want the website to use my CRM record and roles to show a personalised list of timely and relevant links, tasks, and modules, give me access to all my roles and constituent information, and hide what is not relevant, so I can quickly find what I need without reading everything.",Dynamic link recommendations,"As a student, I want to see a list of recommended links that match both the page context and my needs, so I can quickly access relevant resources.","System integrates student profile, preferences, and behaviour signals with content context to determine link relevance.
Recommendations are visible and actionable directly on the page.
Only relevant links are displayed, hiding unrelated content.
Supports continuous updates based on new behaviour or preference data.
Can be achieved via a comprehensive tagging system, but not essential.",Target State,,In Progress (Iterative Design),1,4.5,0.3,0.5,2.5,0.9,All Services,"Nick Miller and CJ Hogan 
(Student Comms)

DJ Pearce
(Salesforce)",,"OneCRM (Salesforce), API Layer."
5.02.c,1. Unified digital entry-point,"7. Profile, preferences and personalisation",VS5.02,Personalised content,"As a student, I want the website to use my CRM record and roles to show a personalised list of timely and relevant links, tasks, and modules, give me access to all my roles and constituent information, and hide what is not relevant, so I can quickly find what I need without reading everything.",Personalise content by segment (Content),"As a student, I want to see content relevant to my segment, so that I only see information that matters to me.","Staff can conditionally render content based on student profile and segment.
Only visible content relevant to the student’s segment is displayed.
Visibility is updated in real-time as student profile or segment information changes.",Current State,1,In Progress (Iterative Design),1,3.45,0.4,0.5,2.5,0.69,All Services,"Nick Miller and CJ Hogan 
(Student Comms)

DJ Pearce
(Salesforce)",,
5.02.d,1. Unified digital entry-point,"7. Profile, preferences and personalisation",VS5.02,Personalised content,"As a student, I want the website to use my CRM record and roles to show a personalised list of timely and relevant links, tasks, and modules, give me access to all my roles and constituent information, and hide what is not relevant, so I can quickly find what I need without reading everything.",Personalise content by segment (Page layouts),"As a student, I want to see different types and priority of information through my student journey, so that I can focus on the most important information for me.","Staff can assign different page layout variations based on student segment/profile.
Only the layout relevant to the student’s profile is displayed.
Visibility rules are applied consistently across sessions and devices.",MVP,2,In Progress (Iterative Design),1,4.5,0.3,0.5,2.5,0.9,All Services,"Nick Miller and CJ Hogan 
(Student Comms)

DJ Pearce
(Salesforce)",,"Tealium (CDP), CMS (Content tagging), OneCRM (Student Attributes)."
5.02.e,1. Unified digital entry-point,"7. Profile, preferences and personalisation",VS5.02,Personalised content,"As a student, I want the website to use my CRM record and roles to show a personalised list of timely and relevant links, tasks, and modules, give me access to all my roles and constituent information, and hide what is not relevant, so I can quickly find what I need without reading everything.","Personalise content by student profile, preference and behaviour signal (Content)","As a student, I want to see content relevant to me based on my profile, preferences, and behaviour, so that the information feels timely and aligned with my needs.","System integrates student profile, preferences, and behaviour signals with content context to determine relevance.
Only relevant content is visible; irrelevant content is hidden.
Supports real-time updates as student data or behaviour changes.
Content visibility is clear and understandable for students.",Target State,1,In Progress (Iterative Design),1,4.85,0.5,0.5,3,0.80833,All Services,"Nick Miller and CJ Hogan 
(Student Comms)

DJ Pearce
(Salesforce)",,
5.02.f,1. Unified digital entry-point,"7. Profile, preferences and personalisation",VS5.02,Personalised content,"As a student, I want the website to use my CRM record and roles to show a personalised list of timely and relevant links, tasks, and modules, give me access to all my roles and constituent information, and hide what is not relevant, so I can quickly find what I need without reading everything.","Personalise content by student profile, preference and behaviour signal (Page layouts)","As a student, I want to see page layouts tailored to my profile, preferences, and behaviour, so I can focus on the most important information at each step of my student journey.","System integrates student profile, preferences, and behaviour signals with page layout context to determine which variation to display.
Only the relevant page layout is shown; irrelevant layouts are hidden.
Supports real-time updates as student data or behaviour changes.",Target State,2,In Progress (Iterative Design),1,4.5,0.4,0.5,4,0.5625,All Services,"Nick Miller and CJ Hogan 
(Student Comms)

DJ Pearce
(Salesforce)",,
5.02.g,1. Unified digital entry-point,"7. Profile, preferences and personalisation",VS5.02,Personalised content,"As a student, I want the website to use my CRM record and roles to show a personalised list of timely and relevant links, tasks, and modules, give me access to all my roles and constituent information, and hide what is not relevant, so I can quickly find what I need without reading everything.",Role-based dynamic link recommendations,"As a student, I want recommended links tailored to my cohort or role, so that the links are relevant to my academic journey and responsibilities.","Staff can assign specific links to different student cohorts.
Student profile is used to determine the appropriate cohort and corresponding links.
Only cohort-relevant links are displayed.",MVP,,In Progress (Iterative Design),1,4.5,0.4,0.5,2,1.125,,,,
