Insight,RICE Prioritisation Type or Other,Epic,User Story (Optional),Source,Score,Insight Confidence,Comment,RICE Score
"Location needs to be taken into consideration, since a large proportion of Melbourne’s online students may not be on campus",Requirement,Personalised content,,Stakeholder Workshop #1,,0.5,,
"Students confirm the importance of personalised content, for example, having accurate deadlines that reflect spec-con outcomes and individual enrolment.",Requirement,Personalised content,,Student Workshop (UG),,0.5,,
Technically all doable,Effort (Tech),Personalised content,Role-based dynamic link recommendations,Technology Feasibility Assessment and MVP Roadmap Workshops,High,0.5,,1
"Tealium is there, but may not be configured how we want it",Effort (Tech),Personalised content,Role-based dynamic link recommendations,Technology Feasibility Assessment and MVP Roadmap Workshops,Medium,0.5,,3
Technically all doable,Effort (Tech),Personalised content,Tailored content filter,Technology Feasibility Assessment and MVP Roadmap Workshops,High,0.5,,1
Technically all doable,Effort (Tech),Personalised content,"Personalise content by student profile, preference and behaviour signal (Content)",Technology Feasibility Assessment and MVP Roadmap Workshops,High,0.5,,1
"Technically feasible, but the dependency are the tags are defined OR if the data for task completion is in OneCRM. Do not know if the data exists/is stored in OneCRM, will need further gap analysis to re-discover the data  ",Effort (Tech),Personalised content,"Personalise content by student profile, preference and behaviour signal (Content)",Technology Feasibility Assessment and MVP Roadmap Workshops,Medium,0.5,,3
"Technically feasible, but the dependency are the tags are defined OR if the data for task completion is in OneCRM. Do not know if the data exists/is stored in OneCRM, will need further gap analysis to re-discover the data  ",Effort (Tech),Personalised content,"Personalise content by student profile, preference and behaviour signal (Page layouts)",Technology Feasibility Assessment and MVP Roadmap Workshops,Medium,0.5,,3
Might need to invest in some sort of personalisation engine - maybe Tealium & Optimizely. Will need to do further research on these.,Effort (Tech),Personalised content,Student-driven preference collection ,Technology Feasibility Assessment and MVP Roadmap Workshops,Medium,0.5,,3
"Target state as for this to work, comms practices have to change - difficult to do from a business service standpoint",Effort (Business),Personalised content,"Personalise content by student profile, preference and behaviour signal (Content)",Technology Feasibility Assessment and MVP Roadmap Workshops,Low,0.5,,5
"Target state as for this to work, comms practices have to change - difficult to do from a business service standpoint",Effort (Business),Personalised content,"Personalise content by student profile, preference and behaviour signal (Page layouts)",Technology Feasibility Assessment and MVP Roadmap Workshops,Low,0.5,,5
"High - all data exists, just requires integration and design",Effort (Business),Unified calendar and planner,,Stakeholder Workshop #2,High,0.5,,1
Could there be functionality for students to add their own events/deadlines?,Suggestion,Unified calendar and planner,,Stakeholder Workshop #2,,0.5,,
"high - problems with LMSS surface on portal, and there is issues with how different departments and academics use LMS differently. ",Effort (Business),Unified calendar and planner,,Stakeholder Workshop #2,Low,0.5,,5
"Integrated calendar view largely already exists with class and exam timetables - would just need to identify what to bring in (eg assessment deadlines, events registered for)",Effort (Business),Unified calendar and planner,,Stakeholder Workshop #3,Medium,0.5,,3
Don't try to over cook what our third-parties are already doing.,Effort (Business),Unified calendar and planner,,Stakeholder Workshop #3,Medium,0.5,,3
Low-Medium feasibility difficult with integration as it is and multiple systems used for the one task like timetabling,Effort (Business),Unified calendar and planner,,Stakeholder Workshop #3,Low,0.5,,5
"Multiple timetabling solutions- MyTimetable
- TimeEdit- Spreadsheets",Effort (Business),Unified calendar and planner,,Stakeholder Workshop #3,Medium,0.5,,3
Understand if some specific schools have different systems,Effort (Business),Unified calendar and planner,,Stakeholder Workshop #3,Medium,0.5,,3
"I see that from my team perspective, where student's invoices are issued to the student's MU email address, it will not be possible to set up a calendar to incorporate payment due dates for individual student as dates vary quote a lot depending on fee type and subject's study periods. Student will be required to keep an eye on their emails or check e-student via my.unimelb. ",Effort (Business),Unified calendar and planner,,Stakeholder Workshop #4,Medium,0.5,,3
"Integration across multiple systems is challenging, and the source of truth for timetables and events remains unclear. We’ll need further discussions with stakeholders to confirm business viability.",Requirement,Unified calendar and planner,,Stakeholder Workshop,,0.5,,
"Students appreciate having deadlines and calendar events listed on the same page, but express concerns about how far ahead the calendar view extends.",Requirement,Unified calendar and planner,,Student Workshop (PG),,0.5,,
"Students rely on personal calendars to plan their day. They want deadlines surfaced in the portal, but stress the importance of integration with third-party calendars.",Requirement,Unified calendar and planner,,Student Workshop (UG),,0.5,,
Student Comms handles a minority of messaging (eg. ~10%) many other teams sending out messaging. How can the solution pull together a holistic view of comms?,Effort (Business),Unified messaging,,Stakeholder Workshop #2,Medium,0.5,,3
Medium - consolidating messages and notifications from all areas of the University (and all platforms) into a single view seems very challenging.,Effort (Business),Unified messaging,,Stakeholder Workshop #2,Medium,0.5,,3
May need to work with divisions on restricting the number of communications they send to remove spamming.,Effort (Business),Unified messaging,,Stakeholder Workshop #4,Medium,0.5,,3
"Pot. problem to mitigate. If there are filters, students may miss key messages (ie. student has filter on and misses email about exams/spec con/etc",Effort (Business),Unified messaging,,Stakeholder Workshop #4,Medium,0.5,,3
"If this goes ahead, will need to have a strong idea of all uni comms to avoid conflicting or duplicate information appearing here",Effort (Business),Unified messaging,,Stakeholder Workshop #4,Medium,0.5,,3
What governance controls are required? Could teams classify messages?,Effort (Business),Unified messaging,,Stakeholder Workshop #4,Medium,0.5,,3
high - template message to send out; need to be quick,Requirement,Unified messaging,,Stakeholder Workshop #5,,0.5,,
emergency alert should be one category in unified notification centre,Requirement,Unified messaging,,Stakeholder Workshop #5,,0.5,,
"Work with the technology team and stakeholders to determine how to integrate multiple messaging channels. Additionally, advanced governance must be considered to define what can be sent and what qualifies as urgent.",Requirement,Unified messaging,,Stakeholder Workshop,,0.5,,
Define governance and classification rules for unified messaging.,Requirement,Unified messaging,,Stakeholder Workshop,,0.5,,
Notification type functionality is relatively doable,Effort (Tech),Unified messaging,,Technology Feasibility Assessment and MVP Roadmap Workshops,High,0.5,,1
"Need to identify what events need unified messaging, if theres too many students will turn it off",Effort (Business),Unified messaging,,Technology Feasibility Assessment and MVP Roadmap Workshops,Medium,0.5,,3
Individual notification / event messaging technical integration layer required,Effort (Tech),Unified messaging,,Technology Feasibility Assessment and MVP Roadmap Workshops,Medium,0.5,,3
"Requires further specification of message types, content governance and technical review",Effort (Business),Unified messaging,,Technology Feasibility Assessment and MVP Roadmap Workshops,Medium,0.5,,3
Email notifications are difficult to get into and will require an integration layer,Effort (Tech),Unified messaging,,Technology Feasibility Assessment and MVP Roadmap Workshops,Low,0.5,,5
"There is a lot of portals, sites and experiences available and important to different students and at different points of their journey. May be an issue lining the right experience up to the right journey points and matching data points for some sensitive items (Eg special con - its difficult to find a data point to personalise for student who may need this easily accessible (if they havent applied for it)",Effort (Business),Unified navigation, ,Stakeholder Workshop #2,Low,0.5,,5
Medium - Possible challenge with surfacing  the sheer number of websites the University has - eg faculty pages,Effort (Business),Unified navigation,,Stakeholder Workshop #2,Medium,0.5,,3
Possible challenge with surfacing  the sheer number of websites the University has - eg faculty pages,Effort (Business),Unified navigation,,Stakeholder Workshop #3,Medium,0.5,,3
"High effort, consolidating the information from a single source of truth - how would this be achieved?",Effort (Business),Unified navigation,,Stakeholder Workshop #3,High,0.5,,1
"There is a lot of portals, sites and experiences available and important to different students and at different points of their journey. May be an issue lining the right experience up to the right journey points and matching data points for some sensitive items (Eg special con - ",Effort (Business),Unified navigation,,Stakeholder Workshop #3,Medium,0.5,,3
Have we checked in with the learnings from the student app experience? ,Effort (Business),Unified navigation,,Stakeholder Workshop #4,Medium,0.5,,3
"Great starting point.  But unifying entry-point may entail unifying (or at least standardising) underlying applications (eg Student One, MyeQuals, OneCRM, LMS. Magento, etc) This would be great, but a major undertaking.  ",Effort (Business),Unified navigation,,Stakeholder Workshop #4,Medium,0.5,,3
Likely require a new tech solution (rather than current state),Effort (Tech),Unified search,Unified and personalised search experience,Technology Feasibility Assessment and MVP Roadmap Workshops,Low,0.5,,5
Current search tech solution is unlikely to be sufficient. Eg. Search tech upgrades / AI solutions,Effort (Tech),Unified search,Unified and personalised search experience,Technology Feasibility Assessment and MVP Roadmap Workshops,Low,0.5,,5
Auth data / personal data higher effort . Advanced personalised Search comes in  dependent of underlying data,Effort (Tech),Unified search,Unified and personalised search experience,Technology Feasibility Assessment and MVP Roadmap Workshops,Low,0.5,,5
Integrated current state global search is feasibile,Effort (Tech),Unified search,Integrated global search (static content),Technology Feasibility Assessment and MVP Roadmap Workshops,High,0.5,,1
"Extending static content in search is feasible, further analysis will be required to understand the level of additional effort is required for integrating and enhancing the search experience (while utilising the current state core search functionality)",Effort (Tech),Unified search,Integrated global search with UX improvements (static content),Technology Feasibility Assessment and MVP Roadmap Workshops,High,0.5,,1
"Prioritising / optimising the relevance of search results based on student segmentation or cohort will require additional effort, requiring further definition and analysis.",Effort (Tech),Unified search,Search results are prioritised to student cohort (static content),Technology Feasibility Assessment and MVP Roadmap Workshops,Medium,0.5,,3
"Low - we can control what we can within SASS, but cannot guarantee everyone across the Uni can adhere to individual student preferences. this would need a few caveat disclaimers",Effort (Business),Unified student communication preferences,,Stakeholder Workshop #2,Low,0.5,,5
"High - all data exists, just requires integration and design",Effort (Business),Unified student dashboard,,Stakeholder Workshop #2,High,0.5,,1
MO have specific content and systems that are different to on campus students,Effort (Business),Unified student dashboard,,Stakeholder Workshop #1,Medium,0.5,,3
Factor emergency alerts into personalisation and notification design.,Requirement,Unified student dashboard,,Stakeholder Workshop,,0.5,,
Students want control over their dashboard layout and content visibility to tailor it to their needs.,Suggestion,Unified student dashboard,,Student Workshop (UG),,0.5,,
Holistic logic around student 'tasks to be completed' also doesn't currently exist,Effort (Business),"Unified tasks, enquiries, and service requests",,Stakeholder Workshop #2,Medium,0.5,,3
"Unsure if OneCRM tracks inquiry statuses in a way that can be surfaced to students, more discovery work needs to be done",Effort (Tech),"Unified tasks, enquiries, and service requests",,Technology Feasibility Assessment and MVP Roadmap Workshops,Medium,0.5,,3
"Technically feasible if the data is there, but currently do not know if the data is there in OneCRM - Need to confirm whether the necessary status data exists in one CRM and whether it can be accessed via API, as this determines the feasibility of building the student-facing view",Effort (Tech),"Unified tasks, enquiries, and service requests",,Technology Feasibility Assessment and MVP Roadmap Workshops,Medium,0.5,,3
"Uncertainty regarding whether Ed Cloud will deliver the required inquiry management features, noting that if Ed Cloud assumes responsibility, any interim solution built for one CRM may become redundant",Effort (Business),"Unified tasks, enquiries, and service requests",,Technology Feasibility Assessment and MVP Roadmap Workshops,Medium,0.5,,3
"The pausing of the case management project and Ed Cloud's shifting scope introduces ambiguity, suggesting that future design and technical decisions should remain flexible to accommodate changes - More strategic work has to be done to define the direction",Effort (Business),"Unified tasks, enquiries, and service requests",,Technology Feasibility Assessment and MVP Roadmap Workshops,Medium,0.5,,3
Need to engage with technical teams to understand if one CRM supports the required data and workflows,Effort (Tech),"Unified tasks, enquiries, and service requests",,Technology Feasibility Assessment and MVP Roadmap Workshops,Medium,0.5,,3
Service requests have significant dependencies on business processes and the need for consolidation efforts,Effort (Business),"Unified tasks, enquiries, and service requests",View my unified enquiries and service requests (OneCRM),Technology Feasibility Assessment and MVP Roadmap Workshops,Low,0.5,,5
"Current landscape where service requests are handled through multiple systems (e.g., Apex, Qualtrics, Student One), with only a subset feeding directly into one CRM, complicating efforts to provide a unified view",Effort (Tech),"Unified tasks, enquiries, and service requests",View my unified enquiries and service requests (OneCRM),Technology Feasibility Assessment and MVP Roadmap Workshops,Low,0.5,,5
Achieving a centralised view depends not only on technical integration but also on aligning business processes and securing buy-in from various university stakeholders,Effort (Business),"Unified tasks, enquiries, and service requests",,Technology Feasibility Assessment and MVP Roadmap Workshops,Low,0.5,,5
Tasks will require significant integration work and possibly new APIs due to multiple services,Effort (Tech),"Unified tasks, enquiries, and service requests",Task status updates,Technology Feasibility Assessment and MVP Roadmap Workshops,Low,0.5,,5
Tasks will require significant integration work and possibly new APIs due to multiple services,Effort (Tech),"Unified tasks, enquiries, and service requests",Assign tasks to students (Integrated),Technology Feasibility Assessment and MVP Roadmap Workshops,Low,0.5,,5
"Need to engage the DPP team, and other relevant stakeholders to clarify technical feasibility, business process alignment, and platform decisions for the proposed solutions",Effort (Business),"Unified tasks, enquiries, and service requests",,Technology Feasibility Assessment and MVP Roadmap Workshops,Medium,0.5,,3
Adapt content for Melbourne Online students,Requirement,,,Stakeholder Workshop,,0.5,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
